PeriodEnd,PeriodStart,Ghi,GtiFixedTilt,GtiTracking
2022-05-14T00:00:00Z,2022-05-13T23:00:00Z,0,0,0
2022-05-14T01:00:00Z,2022-05-14T00:00:00Z,0,0,0
2022-05-14T02:00:00Z,2022-05-14T01:00:00Z,0,0,0
2022-05-14T03:00:00Z,2022-05-14T02:00:00Z,0,0,0
2022-05-14T04:00:00Z,2022-05-14T03:00:00Z,9,8,9
2022-05-14T05:00:00Z,2022-05-14T04:00:00Z,87,79,95
2022-05-14T06:00:00Z,2022-05-14T05:00:00Z,257,211,471
2022-05-14T07:00:00Z,2022-05-14T06:00:00Z,456,415,744
2022-05-14T08:00:00Z,2022-05-14T07:00:00Z,658,649,907
2022-05-14T09:00:00Z,2022-05-14T08:00:00Z,790,817,919
2022-05-14T10:00:00Z,2022-05-14T09:00:00Z,874,924,914
2022-05-14T11:00:00Z,2022-05-14T10:00:00Z,840,883,843
2022-05-14T12:00:00Z,2022-05-14T11:00:00Z,678,680,696
2022-05-14T13:00:00Z,2022-05-14T12:00:00Z,794,822,892
2022-05-14T14:00:00Z,2022-05-14T13:00:00Z,680,678,888
2022-05-14T15:00:00Z,2022-05-14T14:00:00Z,517,478,831
2022-05-14T16:00:00Z,2022-05-14T15:00:00Z,321,261,638
2022-05-14T17:00:00Z,2022-05-14T16:00:00Z,96,86,114
2022-05-14T18:00:00Z,2022-05-14T17:00:00Z,14,13,14
2022-05-14T19:00:00Z,2022-05-14T18:00:00Z,0,0,0
2022-05-14T20:00:00Z,2022-05-14T19:00:00Z,0,0,0
2022-05-14T21:00:00Z,2022-05-14T20:00:00Z,0,0,0
2022-05-14T22:00:00Z,2022-05-14T21:00:00Z,0,0,0
2022-05-14T23:00:00Z,2022-05-14T22:00:00Z,0,0,0
2022-05-15T00:00:00Z,2022-05-14T23:00:00Z,0,0,0
2022-05-15T01:00:00Z,2022-05-15T00:00:00Z,0,0,0
2022-05-15T02:00:00Z,2022-05-15T01:00:00Z,0,0,0
2022-05-15T03:00:00Z,2022-05-15T02:00:00Z,0,0,0
2022-05-15T04:00:00Z,2022-05-15T03:00:00Z,9,8,9
2022-05-15T05:00:00Z,2022-05-15T04:00:00Z,123,59,270
2022-05-15T06:00:00Z,2022-05-15T05:00:00Z,306,224,717
2022-05-15T07:00:00Z,2022-05-15T06:00:00Z,497,446,865
2022-05-15T08:00:00Z,2022-05-15T07:00:00Z,669,658,922
2022-05-15T09:00:00Z,2022-05-15T08:00:00Z,806,832,938
2022-05-15T10:00:00Z,2022-05-15T09:00:00Z,900,952,942
2022-05-15T11:00:00Z,2022-05-15T10:00:00Z,929,990,932
2022-05-15T12:00:00Z,2022-05-15T11:00:00Z,909,963,936
2022-05-15T13:00:00Z,2022-05-15T12:00:00Z,838,871,947
2022-05-15T14:00:00Z,2022-05-15T13:00:00Z,713,711,943
2022-05-15T15:00:00Z,2022-05-15T14:00:00Z,549,505,906
2022-05-15T16:00:00Z,2022-05-15T15:00:00Z,359,278,787
2022-05-15T17:00:00Z,2022-05-15T16:00:00Z,157,86,342
2022-05-15T18:00:00Z,2022-05-15T17:00:00Z,26,16,26
2022-05-15T19:00:00Z,2022-05-15T18:00:00Z,0,0,0
2022-05-15T20:00:00Z,2022-05-15T19:00:00Z,0,0,0
2022-05-15T21:00:00Z,2022-05-15T20:00:00Z,0,0,0
2022-05-15T22:00:00Z,2022-05-15T21:00:00Z,0,0,0
2022-05-15T23:00:00Z,2022-05-15T22:00:00Z,0,0,0
2022-05-16T00:00:00Z,2022-05-15T23:00:00Z,0,0,0
